dataset	base	L42_mean|joint	L42_mean|peg	L42_mean|both	L42_gem3|joint	L42_gem3|peg	L42_gem3|both	L42_attnpool|joint	L42_attnpool|peg	L42_attnpool|both	L44_mean|joint	L44_mean|peg	L44_mean|both	L44_gem3|joint	L44_gem3|peg	L44_gem3|both	L44_attnpool|joint	L44_attnpool|peg	L44_attnpool|both	L46_mean|joint	L46_mean|peg	L46_mean|both	L46_gem3|joint	L46_gem3|peg	L46_gem3|both	L46_attnpool|joint	L46_attnpool|peg	L46_attnpool|both	L47_mean|joint	L47_mean|peg	L47_mean|both	L47_gem3|joint	L47_gem3|peg	L47_gem3|both	L47_attnpool|joint	L47_attnpool|peg	L47_attnpool|both
M11	0.9239016929250775	0.9225704996402422	0.9115934770313876	0.9187526348455282	0.9183478242181206	0.9228519328287711	0.9060736897801986	0.934332415402745	0.9307941003193587	0.9379574707319067	0.9214378710082697	0.9161058615467434	0.9206229931680734	0.9224360268099565	0.9190783944134434	0.9178486907091332	0.9417409302390417	0.9272161363013902	0.9283717397648338	0.9233672149109193	0.9193560900421573	0.9186593183456211	0.9246862035234652	0.9199728080320178	0.9237346149705512	0.9234968473319777	0.9335350615007697	0.9207380379733668	0.9236621668914486	0.9274241762218823	0.9218064559109741	0.9232869697874455	0.9215675966814016	0.9209727999435054	0.9114992031498478	0.907748132290669	0.9106669239207873
M12	0.8117174715869637	0.8141005237773741	0.8205585344667813	0.8285242352092538	0.7989244179237924	0.8122600976980187	0.8253262923895762	0.8228745305536702	0.8145315685458685	0.8240862000119732	0.8160706268957898	0.823460207791715	0.8320038982007217	0.8074420056588144	0.8126003615280192	0.8200871195776264	0.8156429738163395	0.8090424007007603	0.8208974349723491	0.8096280357947049	0.8179318857692632	0.8295816110517884	0.803603784603082	0.8079850113225726	0.8231749253385712	0.8108267597519186	0.8059315606188691	0.8163765994557284	0.8169558738055316	0.8114935010963745	0.8237596802703133	0.8188973015350596	0.8127350606648255	0.8192733092645046	0.8143654961261925	0.8193457712969459	0.8199985228908621
M13	0.8047863111966091	0.8124896176706029	0.8121858290737699	0.8202800143583915	0.8030015702824883	0.8034225033886265	0.8060744619475084	0.8042024544176256	0.7959803513105794	0.7922394333411273	0.8100977690148892	0.8082147753809273	0.8156159590196153	0.799546956440812	0.8068328107848529	0.8050642465193714	0.8082734890065447	0.8185394745982357	0.8153855297695962	0.8082003554691328	0.8036022156474103	0.8198858350667653	0.7999575584299778	0.7994841227617671	0.8039176288096648	0.8195266836388653	0.8199982557882599	0.8191471950809524	0.8060756738104774	0.8062763013585175	0.8200665176960528	0.8026580759414794	0.7981919917014112	0.8027782667559221	0.8144663768954403	0.8094635686798279	0.8170699678426845
M16	0.7518206232633514	0.7567808493954443	0.7721195191592913	0.7639217015812593	0.7590579652117542	0.7729172937950372	0.7802971656974439	0.77677844059874	0.7678532989273819	0.7450735358827703	0.7628972450895165	0.7736647072963946	0.7722852639035086	0.7576198153052823	0.7686974315724399	0.7603320675444414	0.7765434750991898	0.7842369265639202	0.7727667509947052	0.7586286526958967	0.7477384683451335	0.752396746783876	0.7589083254533745	0.7637395878989646	0.7820605402510616	0.7443918210461733	0.7897887404111981	0.7713273056585854	0.7582731377368739	0.7621053759179095	0.7541013742341688	0.7590579652117542	0.7916928742443156	0.7854644848839013	0.7916428575938954	0.7814398941979334	0.7819917876967701
M17	0.9189253108381269	0.9202663547991718	0.9209383078979209	0.9199876001373495	0.9077633058189098	0.898985153869911	0.9112761119702307	0.9281419369700097	0.9156831676897812	0.9036738118545353	0.9212746431180606	0.925522330055653	0.9072897088968291	0.9077633058189098	0.92020962870804	0.9177047516619308	0.9249727323238093	0.933750052778883	0.9108002599351466	0.9212746431180606	0.9231155496723827	0.9134156368025047	0.9226774898203103	0.9259336740149456	0.9314835423448004	0.9223404157665417	0.9261965834086985	0.927209760373416	0.9192120795270232	0.9297429825233783	0.9191548881965224	0.9226774898203103	0.912907981988373	0.9115466344136466	0.9108310908186168	0.9239612194548577	0.9269755528838354
M18	0.8538807451971417	0.8448316310259664	0.8359588466711281	0.8319679739541962	0.8460923200250015	0.8218526453294122	0.8225462743584817	0.862604201582873	0.8329631512204804	0.8630631501196442	0.8420015219831272	0.8340297035583266	0.8142057424174026	0.8496530986636143	0.825832912494745	0.8211285714791349	0.8535294331853157	0.8268867217343889	0.8288803611831675	0.8504411297841529	0.8383270905984013	0.8283885689332381	0.8498416121965824	0.8304076577575472	0.8306084607031978	0.839545443483076	0.8342386309852058	0.8078619634396743	0.8371190665851597	0.839171103467046	0.8308595311529194	0.8485480482685458	0.8331274713125137	0.8362752305883268	0.8334761113429765	0.8247138767663619	0.8044793361564796
M19	0.7504320256502136	0.7530925262662578	0.7521294644985411	0.7422636778823689	0.752772340004237	0.7523565142516228	0.753255459674206	0.7464150823690769	0.7326653036200494	0.7368531414295167	0.7592925899896538	0.7554923653191988	0.7519253004271667	0.7497559467737107	0.747076443906601	0.7450626503365173	0.7597846578199858	0.7591496765503564	0.7595225098683899	0.7547489532153132	0.7515749191630259	0.7538775490969103	0.752772340004237	0.7444432837181567	0.7489249085062175	0.7569376538293533	0.758436657678331	0.7426733715848519	0.7529808249382032	0.7524333744789594	0.7621377448913292	0.7536006234648018	0.750573607467161	0.751540981106551	0.7613991887944749	0.742098314469268	0.7454634478775485
M20	0.8702805650374429	0.8743415241381821	0.8744198755109074	0.8700103809044918	0.8741293436717307	0.8683244720719039	0.8722605283171465	0.8884624802161131	0.8705204174971205	0.8753424628459997	0.8742215196041649	0.874236620471182	0.8619786039140985	0.8769483864607519	0.8640619785855442	0.867866579253018	0.8812346508054827	0.8768866731004292	0.8856623869362469	0.8800162290190979	0.8770686979940724	0.8767593095686381	0.876567052026174	0.8674897852331735	0.865490484183811	0.887468782542538	0.8803482773927594	0.8827280510227721	0.8770777076888582	0.8799833532784176	0.8754768689724307	0.876012232364677	0.8661055111749404	0.8632789634500179	0.8887571858273736	0.8801855960809409	0.884347984023681
M21	0.7706452051457304	0.7791341350339126	0.7910045880702232	0.7846477522430886	0.775900665549262	0.7871340318512309	0.785085436852976	0.7676405438125877	0.7743224850460056	0.7655762644234908	0.7810574336541801	0.7783389797130655	0.7901073484718741	0.7782997804518463	0.785640780359407	0.7795512798363451	0.7778611035702091	0.7621662887082153	0.7550759377369485	0.7798070053980062	0.775905573410876	0.7750434428353069	0.7823263148900318	0.7784910664309007	0.782107921658888	0.7719658287671289	0.777018584158218	0.7493881275628341	0.7762613041058409	0.7737499916888781	0.7753564153639884	0.7766760044454759	0.7736740000304553	0.7737443267657984	0.7684239619758303	0.7576804439946931	0.7474878909424556
M22	0.8091727821552797	0.8066666298992575	0.7997361299801853	0.799271427032659	0.8141352618494543	0.808111265599313	0.8217093750699043	0.8009655473449454	0.8180388087801275	0.8086906981138596	0.8054021841409671	0.8040677913452692	0.8045641265560205	0.8141352618494543	0.8202142905327504	0.8218904839357627	0.7985298948426598	0.8095156392303181	0.8072523840618906	0.8065018012646386	0.8192424039237352	0.8091339638152782	0.814056006893733	0.8120296104235214	0.8221381092588674	0.7981791788157696	0.7981685845203478	0.8048342370272372	0.808151037696303	0.8047894048729399	0.8105045995245882	0.814056006893733	0.821513711698389	0.806765701373368	0.7902589124174327	0.8013753427612582	0.8072222990487801
M23	0.8010350225551156	0.7814425112419995	0.8448251737586918	0.8249433941957246	0.8183643316326085	0.7933798221890432	0.8031054443003177	0.8081878956531081	0.8442834082178621	0.843653877745228	0.8157359762759772	0.8282774897119964	0.8275336061978247	0.8180985642704736	0.8141273974229903	0.8132034534670975	0.8282019915475296	0.8396609361870034	0.8366652119150659	0.8262330788009282	0.8444278051535441	0.8765040931857968	0.814280522270546	0.8162253091530814	0.8167051569523367	0.8282019915475296	0.8139549359319243	0.8142482104873255	0.8228112821004585	0.8261792815169375	0.8817646327461532	0.8183985060615427	0.7966605265737479	0.814129525302987	0.8014701351014827	0.8024944305135808	0.8192910143148638
M24	0.940156401092247	0.9398819032744071	0.9234713237795066	0.9290365296674215	0.9211708112585189	0.9185189340463801	0.9169758067577775	0.941442746436273	0.9430751217327952	0.946932843224542	0.921387915974277	0.9246914777755807	0.9246914777755807	0.9135222295774776	0.9328047883702453	0.9244376702805542	0.9393239984446249	0.9247212018968601	0.9387098429285574	0.9200456528109922	0.9368293697414171	0.9351731964069804	0.9143265530362038	0.9354719333477789	0.9208342432346452	0.9243572295434784	0.933461904414456	0.9268121340689535	0.9200456528109922	0.9088922580312622	0.8947470748143044	0.9071873782651879	0.920249542846921	0.9199802437010385	0.9205528020412543	0.9320307809778533	0.9238919762378998
M25	0.912002673892543	0.912002673892543	0.9236979423057989	0.8971288733785788	0.902617256992082	0.912002673892543	0.912002673892543	0.9053854484591907	0.9053854484591907	0.9053854484591907	0.912002673892543	0.9236979423057989	0.9236979423057989	0.902617256992082	0.912002673892543	0.9081698268159519	0.902617256992082	0.9236979423057989	0.9053854484591907	0.912002673892543	0.9236979423057989	0.902617256992082	0.9236979423057989	0.9236979423057989	0.9236979423057989	0.902617256992082	0.9265358614527616	0.9265358614527616	0.912002673892543	0.9236979423057989	0.902617256992082	0.912002673892543	0.912002673892543	0.912002673892543	0.9236979423057989	0.9265358614527616	0.9265358614527616
M26	0.9462653971635928	0.9419188071542942	0.9419188071542942	0.9419188071542942	0.9419188071542942	0.9419188071542942	0.9419188071542942	0.9462653971635928	0.9363637109141156	0.9408290146974322	0.9419188071542942	0.9419188071542942	0.9419188071542942	0.9462653971635928	0.9419188071542942	0.924769955377941	0.9462653971635928	0.9363637109141156	0.9363637109141156	0.9419188071542942	0.9419188071542942	0.9419188071542942	0.9419188071542942	0.9419188071542942	0.9419188071542942	0.9419188071542942	0.9363637109141156	0.9363637109141156	0.9419188071542942	0.9419188071542942	0.9419188071542942	0.9419188071542942	0.9419188071542942	0.9419188071542942	0.9419188071542942	0.9363637109141156	0.9363637109141156
M27	0.5379852952261267	0.5365350027113498	0.542290648277995	0.5311437315019474	0.5382422039226488	0.5350470756370269	0.5300101609386348	0.5479237663554326	0.5558157046986856	0.5783264381283814	0.5387386769245801	0.5385234136006459	0.5416599914526531	0.5391747277709658	0.5380573277639683	0.5303003383565235	0.5511396578722673	0.5619779778406468	0.6110318118001798	0.5369507990424459	0.5445459231815833	0.5439855127212246	0.5376880091315965	0.5374774639359999	0.5351090753977609	0.553383447534026	0.5644545886555484	0.6274103984471792	0.5343801649534216	0.5408273692056302	0.550547989507317	0.5376451863593279	0.5409392353596618	0.5372898995189227	0.5471292569627753	0.5779428602197779	0.6445157155848943
